0.0	-4.0
0.5	-28.8
1.0	-53.0
1.5	-76.8
2.0	-100.0
2.5	-122.8
3.0	-145.0
3.5	-166.8
4.0	-188.0
4.5	-208.8
5.0	-229.0
5.5	-248.8
6.0	-268.0
6.5	-286.8
7.0	-305.0
7.5	-322.8
8.0	-340.0
8.5	-356.8
9.0	-373.0
9.5	-388.8
10.0	-404.0
10.5	-418.8
11.0	-433.0
11.5	-446.8
12.0	-460.0
12.5	-472.8
13.0	-485.0
13.5	-496.8
14.0	-508.0
14.5	-518.8
15.0	-529.0
15.5	-538.8
16.0	-548.0
16.5	-556.8
17.0	-565.0
17.5	-572.8
18.0	-580.0
18.5	-586.8
19.0	-593.0
19.5	-598.8
20.0	-604.0
20.5	-608.8
21.0	-613.0
21.5	-616.8
22.0	-620.0
22.5	-622.8
23.0	-625.0
23.5	-626.8
24.0	-628.0
24.5	-628.8
25.0	-629.0
25.5	-628.8
26.0	-628.0
26.5	-626.8
27.0	-625.0
27.5	-622.8
28.0	-620.0
28.5	-616.8
29.0	-613.0
29.5	-608.8
30.0	-604.0
30.5	-598.8
31.0	-593.0
31.5	-586.8
32.0	-580.0
32.5	-572.8
33.0	-565.0
33.5	-556.8
34.0	-548.0
34.5	-538.8
35.0	-529.0
35.5	-518.8
36.0	-508.0
36.5	-496.8
37.0	-485.0
37.5	-472.8
38.0	-460.0
38.5	-446.8
39.0	-433.0
39.5	-418.8
40.0	-404.0
40.5	-388.8
41.0	-373.0
41.5	-356.8
42.0	-340.0
42.5	-322.8
43.0	-305.0
43.5	-286.8
44.0	-268.0
44.5	-248.8
45.0	-229.0
45.5	-208.8
46.0	-188.0
46.5	-166.8
47.0	-145.0
47.5	-122.8
48.0	-100.0
48.5	-76.8
49.0	-53.0
49.5	-28.8
50.0	-4.0
50.5	21.3
51.0	47.0
51.5	73.3
52.0	100.0
52.5	127.3
53.0	155.0
53.5	183.3
54.0	212.0
54.5	241.3
55.0	271.0
55.5	301.3
56.0	332.0
56.5	363.3
57.0	395.0
57.5	427.3
58.0	460.0
58.5	493.3
59.0	527.0
59.5	561.3
60.0	596.0
60.5	631.3
61.0	667.0
61.5	703.3
62.0	740.0
62.5	777.3
63.0	815.0
63.5	853.3
64.0	892.0
64.5	931.3
65.0	971.0
65.5	1011.3
66.0	1052.0
66.5	1093.3
67.0	1135.0
67.5	1177.3
68.0	1220.0
68.5	1263.3
69.0	1307.0
69.5	1351.3
70.0	1396.0
70.5	1441.3
71.0	1487.0
71.5	1533.3
72.0	1580.0
72.5	1627.3
73.0	1675.0
73.5	1723.3
74.0	1772.0
74.5	1821.3
75.0	1871.0
75.5	1921.3
76.0	1972.0
76.5	2023.3
77.0	2075.0
77.5	2127.3
78.0	2180.0
78.5	2233.3
79.0	2287.0
79.5	2341.3
80.0	2396.0
80.5	2451.3
81.0	2507.0
81.5	2563.3
82.0	2620.0
82.5	2677.3
83.0	2735.0
83.5	2793.3
84.0	2852.0
84.5	2911.3
85.0	2971.0
85.5	3031.3
86.0	3092.0
86.5	3153.3
87.0	3215.0
87.5	3277.3
88.0	3340.0
88.5	3403.3
89.0	3467.0
89.5	3531.3
90.0	3596.0
90.5	3661.3
91.0	3727.0
91.5	3793.3
92.0	3860.0
92.5	3927.3
93.0	3995.0
93.5	4063.3
94.0	4132.0
94.5	4201.3
95.0	4271.0
95.5	4341.3
96.0	4412.0
96.5	4483.3
97.0	4555.0
97.5	4627.3
98.0	4700.0
98.5	4773.3
99.0	4847.0
99.5	4921.3
